text,label
السيسي رفض يستقبلك ياكخة,0.0
ابارك للراسبين مكانهم في الدولة محجوز,0.0
وحظ اوفر لنواب المستقبل يعوضوها في البرلمان أن شاءالله,0.0
دبدوب نبي نتخرج من الصيدلة ديريلي واسطه,0.0
والله مافلقت لبلاد كان انت والزمره الفاسده هلي معاك. ياماغولي,0.0
خناب وكداب وبقح,0.0
وهمي بيع للشعب حكومة مخانب و وزراء واسطة روسهم زي السطل,0.0
خنبتها هلكتها دمرته جبت في حكومتك الجاهل والخانب والفاسد والبغل الله لا نربحك وان شاء الله تلقاه في صحتك,0.0
خليتوها شرموله,0.0
حج بالتكوليس,0.0
كذاب وسارق ربي ينتقم منك,0.0
سلم السلطة يا أفاك يا شذاذ الافاق .,0.0
اول مرة نشوف رئيس بغل في تينته,0.0
يستاھل التيس اللقاق,0.0
المفتن الاعور الدجال راس الفتن في ليببا ربي يحفظه في ثلاجة الموتى والضي طافي,0.0
لعور الفاسد إخلاقيا وعقليا,0.0
انت خليك ع الدجاجه تبيض والديك لا يبيض.,0.0
وصف الله بنو إسرائيل كالحمار يحمل اسفارا.اما حميرنا نحن كانوا اكثر استحمارا فهم يسخرون من الكتاب والكتب.,0.0
 42سنة سيدك وأنت والشكلات ألي زيك ن ك ت و البلاد شن قدمتو ...تي برااا يا و لد,0.0
أقل شيء ايها الجاهل ليس كالدجال  ابوعصا الذي طبلت وعزفت له كثيرا ( المرأة تحيض والرجل والدجاجة وووو)ويستمر التجهيل والتدجيل والتطبيل,0.0
ان شاء الله غير شارحه كويس ومش مزرق فيه برقة,0.0
القمل عندك كاثر,0.0
اخترلكم مكيف مبروك,0.0
العلم بعيد عليك هذا خليك مع الكتاب الاخضر انت والدجاجه تبيض,0.0
خليك انت مع العشرة مليار مصروفات الدكاترة .باش يشرحو .المراءة تحيض والرجل لا يحيض .والدجاجة تبيض والديك لا يبيض..من ...الاخضر,0.0
 40سنة وهو ينبح، حتى براكة دجاج مادارش,0.0
نبو الشيخ الصادق يشرحنا كيف استعنا بالناتو وكيف حصل على الفتوى آلتي أجازت له الاستعانة بالكافر,0.0
العور الدجال وكداب الغرياني,0.0
زي الاخ الكاغط لما الف كتابه الاخضر بصنع المجتمع الجماهيري البديع والفردوس الارضي ,0.0
بوركت يا ابني انت ذيل مثلي,0.0
القائد بو الفكر الرايد وكتابه الاخضر هو من نقل ليبيا من مرحلة التخلف الى مرحلة التقدم والعلم والتكنولوجيا وغزو الفضاء وصناعة الصواريخ,0.0
السنوسي خان القائد وهرب وجابوه الهارب التريس معدنها بان يوم الشده وهوا بين معدنه لمصدي,0.0
اعلام قناة القنفود يا خي هالة المصراتي يا صبي القحاب,0.0
قايدهم بغل نايكينه في تشاد وكل القبايل المطلينة من قرامطة واحفاد خونه ولصوص وبويات يدعمو فيه شنو يعني بتتوقع بيكون يعني مغير بوفتات متاعين هزايم وهزايب الفضل لله وتريس طرابلس او كان هذا ليبيا بدت مرقصة ودورة مياه للبغل ليهودي ديوث مصر ليهودي الخسيسي,0.0
تو ي ولد القحشه ي كواl الناس كلها قالت القبض ع 95 ليبي انت الوحيد لعرفت انهم م الجيش الليبي امك َولا اختك لتجيبلك ف المعلومات ي فرو,0.0
مقتنعات بروحهم قحاب معاش ادوروهم,0.0
حي ع المنظر,0.0
زي عباد الشيطان استغفرالله تخوف,0.0
حتى التفرعيش خاشينه من تالي,0.0
بس كأنها راجل متحول,0.0
كناسه حاشا ناس طيبه,0.0
استغفر الله العظيم زين يقطر,0.0
تفرجت علي الفيديو عقاب لنفسي مش راضي عليها لقيت كمية تلوث بصري تودي للعمى,0.0
زيت ,0.0
امزيتة,0.0
جمال ما يستحقش حتي تعلقي عليه زي الجيفه,0.0
جمال زي الجمل سبحان الخالق,0.0
زي الجيفه حشاك,0.0
مستحيل نصدق فلا نشوف فيه شنكه الصب,0.0
محشننننننننه اين زين فيها,0.0
نسمع بعزوز القايله لين شوفتها بعيوني,0.0
حواجبها خط عشرة,0.0
شنو هدا وجه وله ,0.0
ياارب اعطيني تقتها,0.0
ايدز يظبح من بعيد من تالي ومن قدام وكله لجدره,0.0
وين زين في موضوع و وين صقوره,0.0
شوارب الناقة,0.0
نسخه من نادر العماري ع شكالات,0.0
حشاكم زيت يقطر,0.0
شني هالخمر هذا,0.0
بالله وين زين.كلها عافان وزيت يقطر الله المستعان لا لون ولا عون,0.0
عليك رعب,0.0
شواربها كمدينة ينحطو عليهم الحاجات,0.0
ياخوفي هالشوارب يوم تاني تفري بيهم من كثر مامنفوخات,0.0
المهم الكربون متاعها قاعد بس,0.0
سيدة أعمال من تالي,0.0
كان مغير كوت قميصه,0.0
ان شاء الله يربح التركي,0.0
طنجره ولقت مغطاها,0.0
بعد سنتين من تجربه استعمال أوروبي,0.0
حشاه اجدابيا منها ناس تنفع هيا تمثل روحها خزى عوبه,0.0
يوم غليظ البسبوسه والكسكسو طبا حتي في تركيا,0.0
واخدها بالتجريب قصدك ؟,0.0
وخدها بكربونها من ليبيا فك كربونها هوا,0.0
لحية وشنبات على الأبيض,0.0
اكيد دايرتله خطين بيش خذها هالحطبه,0.0
